customer_id,income_k,spending_score,age
1,16.6,63.0,25.0
2,14.8,32.0,42.0
3,32.8,29.0,43.0
4,77.0,75.0,26.0
5,63.0,34.0,42.0
6,68.2,33.0,51.0
7,21.8,69.0,24.0
8,77.1,71.0,24.0
9,78.7,93.0,34.0
10,21.3,12.0,43.0
11,27.6,80.0,25.0
12,75.5,76.0,31.0
13,72.2,83.0,37.0
14,21.3,67.0,31.0
15,70.3,75.0,26.0
16,68.1,81.0,40.0
17,22.8,67.0,27.0
18,86.7,74.0,35.0
19,19.5,78.0,30.0
20,21.1,74.0,24.0
21,80.9,25.0,45.0
22,22.2,22.0,46.0
23,60.5,25.0,57.0
24,30.8,62.0,18.0
25,16.6,84.0,30.0
26,16.2,83.0,23.0
27,24.6,68.0,18.0
28,24.3,87.0,26.0
29,74.4,41.0,48.0
30,65.8,6.0,49.0
31,14.9,34.0,35.0
32,25.3,33.0,55.0
33,32.6,75.0,29.0
34,23.0,77.0,26.0
35,74.2,92.0,35.0
36,69.6,30.0,53.0
37,62.7,13.0,46.0
38,71.9,25.0,44.0
39,68.3,87.0,38.0
40,31.5,98.0,19.0
41,23.7,72.0,26.0
42,73.0,71.0,38.0
43,15.1,29.0,57.0
44,17.4,26.0,50.0
45,77.0,28.0,46.0
46,80.6,79.0,30.0
47,22.6,22.0,39.0
48,19.7,23.0,44.0
49,72.5,24.0,58.0
50,23.1,56.0,26.0
51,75.0,19.0,48.0
52,76.1,78.0,28.0
53,12.2,19.0,44.0
54,60.6,18.0,55.0
55,65.8,13.0,58.0
56,14.6,65.0,37.0
57,56.3,1.0,49.0
58,22.0,100.0,18.0
59,73.3,92.0,35.0
60,25.9,65.0,26.0
61,69.2,95.0,34.0
62,19.6,92.0,22.0
63,17.6,19.0,37.0
64,20.4,26.0,41.0
65,26.8,29.0,39.0
66,62.9,28.0,58.0
67,16.0,21.0,32.0
68,79.0,73.0,43.0
69,32.3,67.0,22.0
70,66.0,24.0,47.0
71,15.8,88.0,26.0
72,69.6,2.0,60.0
73,65.5,81.0,33.0
74,23.3,24.0,39.0
75,75.9,22.0,50.0
76,72.6,10.0,54.0
77,23.2,21.0,54.0
78,73.7,7.0,53.0
79,80.4,23.0,49.0
80,72.6,23.0,36.0
81,24.5,12.0,43.0
82,23.0,92.0,18.0
83,25.2,13.0,41.0
84,77.6,90.0,28.0
85,77.2,73.0,34.0
86,31.2,69.0,21.0
87,70.0,77.0,35.0
88,19.3,21.0,47.0
89,81.5,65.0,26.0
90,17.6,63.0,22.0
91,27.3,17.0,46.0
92,71.8,20.0,52.0
93,60.8,28.0,51.0
94,15.1,22.0,44.0
95,24.7,22.0,46.0
96,73.1,78.0,25.0
97,74.8,84.0,28.0
98,20.8,23.0,39.0
99,22.2,26.0,38.0
100,74.7,20.0,51.0
101,8.3,21.0,39.0
102,16.9,22.0,49.0
103,70.4,16.0,52.0
104,57.6,21.0,41.0
105,80.4,19.0,42.0
106,79.7,26.0,48.0
107,25.3,10.0,48.0
108,34.8,75.0,25.0
109,80.5,29.0,46.0
110,66.5,27.0,56.0
111,73.2,86.0,32.0
112,21.8,28.0,43.0
113,63.1,86.0,34.0
114,87.5,66.0,45.0
115,18.1,73.0,20.0
116,74.5,28.0,41.0
117,27.0,72.0,27.0
118,20.7,10.0,40.0
119,62.6,79.0,28.0
120,22.5,31.0,41.0
121,24.5,31.0,47.0
122,73.5,12.0,38.0
123,76.0,75.0,31.0
124,81.5,100.0,28.0
125,17.9,31.0,47.0
126,19.1,29.0,53.0
127,74.7,66.0,37.0
128,73.5,22.0,48.0
129,23.3,70.0,18.0
130,23.9,29.0,62.0
131,81.6,88.0,36.0
132,21.3,16.0,44.0
133,15.4,94.0,23.0
134,75.4,53.0,32.0
135,21.4,24.0,47.0
136,76.9,22.0,46.0
137,25.6,22.0,49.0
138,63.7,22.0,48.0
139,19.1,81.0,18.0
